City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Badvel,IN,83.25,overcast clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
1,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Vila Velha,BR,80.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
5,Yenagoa,NG,77.38,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
6,Manokwari,ID,78.49,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
7,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
9,Rikitea,PF,75.0,scattered clouds,-23.1203,-134.9692,People ThankYou
12,Acarau,BR,84.61,overcast clouds,-2.8856,-40.12,castelo pizzaria
15,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
16,Pozo Colorado,PY,73.4,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
19,Potiskum,NG,77.41,moderate rain,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
21,Rio Branco,BR,74.01,thunderstorm with light rain,-9.9747,-67.81,Inácio Palace Hotel
25,Goya,AR,74.12,clear sky,-29.14,-59.2626,Apart Costanera Goya
27,Georgetown,MY,81.95,few clouds,5.4112,100.3354,Cititel Penang
30,Russellville,US,70.99,clear sky,35.2784,-93.1338,Hampton Inn Russellville
32,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
36,Ribeira Grande,PT,72.0,mist,38.5167,-28.7,Quinta da Meia Eira
37,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
39,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
41,Biak,ID,77.11,scattered clouds,-0.9131,122.8766,Penginapan Kim
44,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Kupang,ID,79.0,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
51,Najran,SA,74.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
52,Lagoa,PT,71.2,overcast clouds,39.05,-27.9833,Casa Das Faias
53,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Ramhormoz,IR,87.49,clear sky,31.28,49.6035,کافی نت کاریزما
56,Harper,LR,79.27,few clouds,4.375,-7.7169,Screensaver
60,Shimoda,JP,70.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
62,Presidencia Roque Saenz Pena,AR,77.02,broken clouds,-26.7852,-60.4388,Hotel Aconcagua
63,Hilo,US,75.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
72,Kinablangan,PH,78.19,overcast clouds,7.6947,126.5503,Danny Moreno Property
74,Labuhan,ID,80.06,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
77,La Romana,DO,85.23,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
80,Kapaa,US,79.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
83,Maiduguri,NG,83.08,broken clouds,11.8464,13.1603,Kagel Mari Police Station
88,Waingapu,ID,80.4,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
96,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
97,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
99,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
100,Prado,BR,78.21,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
103,Savalou,BJ,82.27,scattered clouds,7.9281,1.9756,Hotel F&F
104,Twentynine Palms,US,80.98,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
106,Dwarka,IN,81.59,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
109,Alofi,NU,77.58,few clouds,-19.0595,-169.9187,Taloa Heights
110,La Cruz,MX,84.27,broken clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
112,Buala,SB,79.61,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
119,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
125,Half Moon Bay,US,84.96,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
129,Castro,BR,73.63,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
131,San Patricio,US,77.41,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
134,Sola,VU,80.46,overcast clouds,-13.8833,167.55,Leumerus Bungalows
139,Bilma,NE,86.4,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
146,Samarai,PG,80.6,scattered clouds,-10.6167,150.6667,Nuli Sapi
154,Cabo San Lucas,MX,88.9,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
158,Kavieng,PG,84.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
166,Victoria,HK,75.25,few clouds,22.2855,114.1577,Mini Hotel Central
167,Alugan,PH,78.28,few clouds,12.2188,125.4808,JM Lodge
170,Bengkulu,ID,77.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
177,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
178,Oussouye,SN,86.18,few clouds,12.485,-16.5469,Auberge du Routard
182,Bihariganj,IN,81.09,overcast clouds,25.7333,86.9833,Chandika Sthan Dharmshala
183,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Hotel Gaudi
184,Fatehabad,IN,78.75,clear sky,29.5167,75.45,Duke Hotel & Restaurant
185,Kahului,US,79.97,light rain,20.8947,-156.47,Maui Seaside Hotel
189,Mulanje,MW,82.2,overcast clouds,-16.0316,35.5,Mulanje Motel
190,Bethel,US,76.73,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
191,Isangel,VU,75.31,moderate rain,-19.55,169.2667,Tanna Lodge
196,Quanzhou,CN,73.35,broken clouds,24.9139,118.5858,Quanzhou Nice Youth Hostel
197,Riberalta,BO,71.8,moderate rain,-10.9833,-66.1,Hotel Colonial
199,Hasaki,JP,70.2,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
201,Ukiah,US,82.74,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
203,Bongouanou,CI,74.86,moderate rain,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
206,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
209,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
216,Trairi,BR,84.52,broken clouds,-3.2778,-39.2689,janelas do mar
217,Sao Filipe,CV,79.34,overcast clouds,14.8961,-24.4956,Hotel Xaguate
218,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
219,Filadelfia,US,83.17,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
220,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
221,Tarata,BO,81.82,overcast clouds,-17.6167,-66.0167,Hacienda castillo
227,Tucuman,AR,73.4,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
228,San Policarpo,PH,78.75,few clouds,12.1791,125.5072,Agapita M. Nicart
229,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
231,Pandan,PH,78.44,few clouds,14.0453,124.1694,Bonifacio Lodge
240,Gondanglegi,ID,75.7,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
246,Nantucket,US,73.96,clear sky,41.2835,-70.0995,Jared Coffin House
247,Sibolga,ID,78.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
252,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
253,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
256,Kavaratti,IN,81.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
262,San Quintin,MX,77.61,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
263,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
269,Dingle,PH,75.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
270,Impfondo,CG,72.64,light rain,1.6381,18.0667,Auberge La Place de Jules
271,Kalmunai,LK,81.73,overcast clouds,7.4167,81.8167,VS Villa
273,Carutapera,BR,84.94,broken clouds,-1.195,-46.02,Lidera
274,Stephenville,US,71.94,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
279,Del Rio,US,75.31,haze,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
280,Giddalur,IN,80.04,overcast clouds,15.35,78.9167,Shivaji Lodge
281,Majene,ID,79.16,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
283,Eyl,SO,78.91,overcast clouds,7.9803,49.8164,Amiin Hotel
291,Brewster,US,78.04,scattered clouds,41.3973,-73.6171,Heidi's Inn
293,Guanica,PR,89.91,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
294,Sinnamary,GF,86.31,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
297,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
298,Inhambane,MZ,76.98,scattered clouds,-23.865,35.3833,Oceano
301,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
304,Bintulu,MY,77.41,thunderstorm,3.1667,113.0333,900 Boutique INN
305,Namatanai,PG,81.23,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
310,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
314,Mabaruma,GY,86.41,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
315,Katsuura,JP,76.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
322,Mayo,US,79.16,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
326,Corrales,US,70.05,clear sky,35.2378,-106.6067,Quality Inn
327,Baiao,BR,85.8,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
328,Nieuw Nickerie,SR,84.56,broken clouds,5.95,-56.9833,Ishwardat Inn
331,Socorro,US,72.1,few clouds,31.6546,-106.3033,guarderia imss papalote
336,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
340,Boulder City,US,74.35,clear sky,35.9786,-114.8325,Boulder Dam Hotel
342,Lamar,US,71.89,clear sky,33.6668,-95.5836,Kings Inn Paris TX
343,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
344,Saint-Joseph,RE,71.96,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
346,Thohoyandou,ZA,82.2,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
347,Ambilobe,MG,73.51,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
348,Guanay,BO,72.45,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
349,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
356,Caravelas,BR,79.25,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
357,Pemangkat,ID,80.65,overcast clouds,1.1667,108.9667,Ramah Kost KITA
358,Guerrero Negro,MX,83.64,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
361,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
363,Pacifica,US,84.76,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
366,Iranshahr,IR,75.54,clear sky,27.2025,60.6848,نیک سرشت
367,Bondoukou,CI,77.74,clear sky,8.0333,-2.8,Prestige Hotel
368,Brigantine,US,83.32,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
369,Pailon,BO,76.68,light rain,-17.65,-62.75,Alojamiento pailon
372,Salinas,US,88.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
375,Panuco,MX,78.98,overcast clouds,22.05,-98.1667,Hotel Plaza
376,Myitkyina,MM,77.07,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
383,Mastic Beach,US,76.17,scattered clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
384,Turayf,SA,73.65,scattered clouds,31.6725,38.6637,Turaif
386,Bandarbeyla,SO,78.53,overcast clouds,9.4942,50.8122,JABIR HOTEL
387,Camacha,PT,70.54,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
389,Cockburn Town,TC,81.86,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
391,Odweyne,SO,77.83,few clouds,9.4092,45.06399999999999,Eng Hiirey House
393,Uthal,PK,79.75,clear sky,25.8072,66.6219,Al-Mustafa Hotel
394,Weligama,LK,78.96,overcast clouds,5.9667,80.4167,Weligama Bay Resort
397,Tecoanapa,MX,86.0,few clouds,16.5167,-98.75,Hotel Manglares
398,Chigorodo,CO,78.01,overcast clouds,7.6664,-76.6811,Hotel Las Guaduas Del Darien
402,Jussara,BR,78.76,overcast clouds,-23.6214,-52.4694,Big hotel e Restaurante e hambugueria
403,Wichita Falls,US,72.25,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
404,Faanui,PF,80.04,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
406,Yarada,IN,80.29,overcast clouds,17.65,83.2667,Vishranti
407,Canton,CN,71.01,light rain,23.1167,113.25,Guangzhou Hotel
408,Luanda,AO,75.2,clear sky,-8.8368,13.2343,Hotel Fórum
411,Chesapeake,US,86.18,clear sky,36.819,-76.2749,Renaissance Portsmouth-Norfolk Waterfront Hotel
413,Sillod,IN,71.83,light rain,20.3,75.65,पवन
