City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Badvel,IN,14.75,79.05,83.25,72,100,2.98,overcast clouds
1,Souillac,MU,-20.5167,57.5167,74.35,68,40,18.41,scattered clouds
2,Olga,RU,43.7444,135.2892,29.8,63,88,9.31,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,33.46,75,75,34.52,heavy snow
4,Vila Velha,BR,-20.3297,-40.2925,80.55,78,20,18.41,light rain
5,Yenagoa,NG,4.9247,6.2642,77.38,91,22,5.21,few clouds
6,Manokwari,ID,-0.8667,134.0833,78.49,80,100,3.53,light rain
7,Avarua,CK,-21.2078,-159.775,78.85,78,75,11.5,broken clouds
8,Maseru,LS,-29.3167,27.4833,53.94,27,55,4.59,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,75.0,79,26,9.62,scattered clouds
10,Busselton,AU,-33.65,115.3333,59.09,71,100,5.68,overcast clouds
11,Vestmanna,FO,62.1564,-7.1664,40.12,87,90,3.44,overcast clouds
12,Acarau,BR,-2.8856,-40.12,84.61,65,100,21.18,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,43.88,81,100,13.09,overcast clouds
14,Dikson,RU,73.5069,80.5464,30.94,94,100,14.29,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,6.91,broken clouds
16,Pozo Colorado,PY,-23.4923,-58.7972,73.4,59,99,5.7,overcast clouds
17,Hobart,AU,-42.8794,147.3294,47.05,80,75,1.01,broken clouds
18,The Pas,CA,53.8251,-101.2541,55.42,47,1,12.66,clear sky
19,Potiskum,NG,11.7091,11.0694,77.41,78,85,2.66,moderate rain
20,Nanortalik,GL,60.1432,-45.2371,41.59,63,87,5.35,overcast clouds
21,Rio Branco,BR,-9.9747,-67.81,74.01,100,75,12.66,thunderstorm with light rain
22,Atbasar,KZ,51.8,68.3333,45.68,55,100,4.5,overcast clouds
23,Halifax,CA,44.6453,-63.5724,62.49,80,90,3.0,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,63.0,80,100,13.56,overcast clouds
25,Goya,AR,-29.14,-59.2626,74.12,25,1,8.19,clear sky
26,Yellowknife,CA,62.456,-114.3525,38.41,100,90,5.75,overcast clouds
27,Georgetown,MY,5.4112,100.3354,81.95,85,20,3.44,few clouds
28,Kodiak,US,57.79,-152.4072,38.71,56,1,4.61,clear sky
29,Albany,US,42.6001,-73.9662,76.95,73,99,1.01,overcast clouds
30,Russellville,US,35.2784,-93.1338,70.99,33,1,8.05,clear sky
31,Talnakh,RU,69.4865,88.3972,26.85,96,100,15.3,snow
32,Yulara,AU,-25.2406,130.9889,73.24,18,58,8.05,broken clouds
33,Klaksvik,FO,62.2266,-6.589,41.92,64,100,7.23,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,54.9,64,100,12.33,overcast clouds
35,Saskylakh,RU,71.9167,114.0833,2.73,98,98,6.51,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,72.0,100,75,26.46,mist
37,Atuona,PF,-9.8,-139.0333,77.68,78,8,21.16,light rain
38,Jishui,CN,33.7333,115.4,43.16,58,0,7.36,light rain
39,Vaini,TO,-21.2,-175.2,75.36,88,75,8.05,broken clouds
40,Cherskiy,RU,68.75,161.3,-14.21,100,67,3.04,broken clouds
41,Biak,ID,-0.9131,122.8766,77.11,83,31,1.77,scattered clouds
42,Torbay,CA,47.6666,-52.7314,46.58,95,90,25.32,light intensity drizzle
43,Kibaya,TZ,-5.3,36.5667,65.17,56,4,7.63,clear sky
