City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-10-14 23:38:46,-46.6,168.3333,50.63,65,86,16.82
1,Ilulissat,GL,2021-10-14 23:39:14,69.2167,-51.1,32.02,93,97,3.44
2,Puerto Ayora,EC,2021-10-14 23:38:49,-0.7393,-90.3518,69.85,76,61,11.52
3,Georgetown,MY,2021-10-14 23:38:41,5.4112,100.3354,82.33,93,20,1.99
4,Xuchang,CN,2021-10-14 23:39:15,34.0167,113.8167,61.68,78,98,4.54
5,Itaqui,BR,2021-10-14 23:39:15,-29.1253,-56.5531,70.11,89,62,6.4
6,Thinadhoo,MV,2021-10-14 23:39:16,0.5333,72.9333,83.3,76,90,24.36
7,Vestmannaeyjar,IS,2021-10-14 23:39:16,63.4427,-20.2734,44.35,72,60,22.03
8,Souillac,MU,2021-10-14 23:39:17,-20.5167,57.5167,71.98,83,40,6.91
9,Hobart,AU,2021-10-14 23:37:43,-42.8794,147.3294,59.02,95,75,3.0
10,Mahebourg,MU,2021-10-14 23:39:17,-20.4081,57.7,71.89,83,40,6.91
11,Lebu,CL,2021-10-14 23:39:08,-37.6167,-73.65,47.53,68,9,8.48
12,Khatanga,RU,2021-10-14 23:39:03,71.9667,102.5,4.55,89,99,6.62
13,Ongandjera,NA,2021-10-14 23:39:18,-17.8833,15.0667,70.54,28,2,11.81
14,Saskylakh,RU,2021-10-14 23:39:07,71.9167,114.0833,2.71,92,100,9.75
15,Kaitangata,NZ,2021-10-14 23:38:39,-46.2817,169.8464,56.46,48,77,5.37
16,Yellowknife,CA,2021-10-14 23:38:35,62.456,-114.3525,45.41,73,20,18.41
17,Ukiah,US,2021-10-14 23:35:48,39.1502,-123.2078,80.58,27,1,9.22
18,Kununurra,AU,2021-10-14 23:39:19,-15.7667,128.7333,82.38,69,51,2.3
19,Gewane,ET,2021-10-14 23:39:20,10.1664,40.6453,82.35,39,31,4.43
20,Makakilo City,US,2021-10-14 23:39:20,21.3469,-158.0858,82.72,66,90,10.36
21,Ushuaia,AR,2021-10-14 23:37:20,-54.8,-68.3,42.46,49,20,13.8
22,Rikitea,PF,2021-10-14 23:38:55,-23.1203,-134.9692,74.66,71,80,5.19
23,Quelimane,MZ,2021-10-14 23:39:21,-17.8786,36.8883,75.69,78,69,6.13
24,Ngama,TD,2021-10-14 23:39:22,11.7833,17.1667,73.54,81,95,8.93
25,Leningradskiy,RU,2021-10-14 23:39:22,69.3833,178.4167,18.93,92,100,9.22
26,Cidreira,BR,2021-10-14 23:39:23,-30.1811,-50.2056,67.55,94,70,11.83
27,Port Elizabeth,ZA,2021-10-14 23:37:43,-33.918,25.5701,59.29,94,20,4.61
28,Bredasdorp,ZA,2021-10-14 23:34:58,-34.5322,20.0403,52.29,89,78,2.21
29,Victoria,HK,2021-10-14 23:36:45,22.2855,114.1577,81.32,84,100,8.99
30,Chuy,UY,2021-10-14 23:39:24,-33.6971,-53.4616,61.2,94,92,4.76
31,Fandriana,MG,2021-10-14 23:39:24,-20.2333,47.3833,51.62,94,16,2.68
32,Port Alfred,ZA,2021-10-14 23:39:24,-33.5906,26.891,62.69,74,100,12.66
33,Busselton,AU,2021-10-14 23:38:59,-33.65,115.3333,57.04,68,81,11.36
34,Gazanjyk,TM,2021-10-14 23:39:25,39.2446,55.5154,61.77,19,57,3.04
35,Northam,GB,2021-10-14 23:39:25,51.0333,-4.2167,58.6,90,100,9.51
36,Nador,MA,2021-10-14 23:39:26,35.174,-2.9287,66.45,82,0,4.61
37,Albany,US,2021-10-14 23:36:13,42.6001,-73.9662,66.63,86,88,4.14
38,Provideniya,RU,2021-10-14 23:39:26,64.3833,-173.3,32.11,59,75,15.66
39,Jamestown,US,2021-10-14 23:38:44,42.097,-79.2353,71.24,83,1,5.75
40,Santa Cruz De La Palma,ES,2021-10-14 23:39:27,28.6835,-17.7642,73.54,64,90,8.05
41,Avarua,CK,2021-10-14 23:39:28,-21.2078,-159.775,78.85,69,81,8.05
42,Lishui,CN,2021-10-14 23:39:28,28.4604,119.9103,75.25,93,96,1.19
43,Cape Town,ZA,2021-10-14 23:37:06,-33.9258,18.4232,59.09,79,75,1.01
44,Eydhafushi,MV,2021-10-14 23:39:29,5.1033,73.0708,82.98,80,100,23.51
45,Mountain Home,US,2021-10-14 23:34:53,43.133,-115.6912,54.34,32,1,17.27
46,Carnarvon,AU,2021-10-14 23:39:29,-24.8667,113.6333,66.27,88,0,5.75
47,Najran,SA,2021-10-14 23:39:30,17.4924,44.1277,66.85,22,16,4.45
48,San Patricio,US,2021-10-14 23:39:30,28.017,-97.5169,84.29,81,50,12.91
49,Franklin,US,2021-10-14 23:39:31,39.9667,-83.0166,79.12,71,75,5.75
50,Mar Del Plata,AR,2021-10-14 23:38:42,-38.0023,-57.5575,53.1,28,90,1.01
51,Vaini,TO,2021-10-14 23:38:54,-21.2,-175.2,82.56,74,20,12.66
52,San Quintin,MX,2021-10-14 23:39:31,30.4833,-115.95,68.43,55,0,11.65
53,Hermanus,ZA,2021-10-14 23:38:45,-34.4187,19.2345,57.9,82,100,2.59
54,Luderitz,NA,2021-10-14 23:39:32,-26.6481,15.1594,55.51,89,11,11.86
